Region,Crop,Year,Production,Area Harvested
Balochistan,Wheat,2023,3666.46,739.6
KPK,Wheat,2019,2487.4,199.8
Punjab,Rice,2016,1140.73,495.4
Balochistan,Rice,2018,4810.61,281.55
Balochistan,Wheat,2021,4553.93,906.19
KPK,Wheat,2022,3641.39,527.83
Punjab,Wheat,2017,1126.72,
Punjab,Maize,2015,2789.58,725.96
Balochistan,Maize,2018,7402.08,
Sindh,Maize,2016,8111.58,
Balochistan,Rice,2022,6453.64,585.86
Balochistan,Maize,2018,9336.71,282.76
Balochistan,Rice,2016,6859.69,948.57
Balochistan,Rice,2020,9234.64,638.98
KPK,Maize,2020,8650.35,725.31
Punjab,Rice,2018,5045.06,892.42
KPK,Maize,2020,,661.92
KPK,Maize,2016,4337.36,366.07
KPK,Wheat,2016,7019.57,194.94
Balochistan,Maize,2018,6993.3,510.88
Sindh,Wheat,2022,6321.68,296.6
Punjab,Maize,2021,3472.5,474.86
Sindh,Maize,2023,6051.19,894.95
KPK,Wheat,2022,4446.34,391.91
KPK,Wheat,2019,,209.88
Sindh,Maize,2016,,420.67
Sindh,Rice,2019,7495.57,916.15
Sindh,Wheat,2022,3123.86,344.92
KPK,Rice,2023,3304.61,682.92
KPK,Rice,2023,1363.9,100.47
